X4,Y4,X2,Y2
1.92396E+12,0.042186257,4109122742,4.02E-05
1.92396E+12,0.039114633,4273250257,5.24E-05
1.92396E+12,0.037663736,4273250257,5.44E-05
1.92396E+12,0.037663736,4273250257,7.37E-05
2.08072E+12,0.042186257,4273250257,7.95E-05
2.08072E+12,0.043811373,4273250257,9.97E-05
2.08072E+12,0.045499093,4273250257,0.000111655
2.25026E+12,0.047251827,4273250257,0.000125063
2.53081E+12,0.047251827,4273250257,0.000145476
,,4273250257,0.00015108
,,4273250257,0.00018954
,,4273250257,0.000237792
,,4273250257,0.000256465
,,4273250257,0.000298327
,,4273250257,0.000360389
,,4273250257,0.000403663
,,4273250257,0.000435362
,,4273250257,0.000452134
,,4109122742,0.001038522
,,3799537082,0.002385421
,,2111506816,0.007138799
,,2111506816,0.17740833
,,0.001106472,3.33E-05
,,49170883.13,8.705795905
