X1,Y1,X2,Y2,X3,Y3,X4,Y4,,,,,,X1_sn19
955.1892598,1.87E-05,161024605,7.23E-06,1.25E+11,1.82E-03,23535848.2,2.71E-08,,,,,,
1237.928596,1.47E-08,139925618.9,1.41E-05,2.44E+11,0.005456274,25112005.36,1.71671E-05,,,,,,
1948.751146,1.91E-05,181344087.9,3.14E-02,2.64E+11,0.006348515,29529782.51,5.19496E-05,,,,,,
2525.588249,1.47E-08,222663970.2,1.24E-02,2.86E+11,0.007671708,30502540.96,1.21615E-05,,,,,,
3975.789079,1.93E-05,220271355.8,0.005095324,3.09E+11,0.008594568,35868636.84,2.41E-08,,,,,,
5152.636447,1.47E-08,220271355.8,2.56E-03,3.21E+11,0.01,35868636.84,9.07739E-06,,,,,,
8530.724813,1.94E-05,220271355.8,0.001283317,3.21E+11,0.010385896,43568187.74,5.85805E-05,,,,,,
10512.26872,1.49E-08,240155984.4,4.85E-04,3.47E+11,0.012084257,46485877.84,5.49796E-06,,,,,,
16548.44696,1.93E-05,276368422.1,6.09E-07,3.76E+11,1.41E-02,52920521.96,2.43E-08,,,,,,
21446.8447,1.52E-08,335693585.4,3.23E-04,3.91E+11,0.016990878,60245859.04,0.858539386,,,,,,
37037.41627,1.99E-05,399037599.3,6.40199E-05,4.06E+11,0.019034777,63865098.8,7.13668E-05,,,,,,
43755.26919,1.52E-08,407753470.5,0.0001782,4.39E+11,0.023002113,54663808.91,4.14679E-06,,,,,,
109675.8058,1.99E-05,108997105.7,2.91E-06,4.39E+11,2.48E-02,70844486.1,0.56061518,,,,,,
89268.31001,1.52E-08,113350063.7,3.66E-06,4.39E+11,2.78E-02,78078842.44,2.48E-08,,,,,,
182122.7779,1.52E-08,117876863.5,4.95E-06,6.01E+11,2.58E-02,94226451.34,0.354780326,,,,,,
335577.692,1.99E-05,117876863.5,6.21E-06,6.76E+11,1.70E-02,88886631.54,9.59644E-05,,,,,,
371561.9376,1.52E-08,117876863.5,6.96E-06,7.91E+11,1.12E-02,101190450.8,0.260148297,,,,,,
624084.7183,1.98E-05,117876863.5,8.10E-06,9.25E+11,8.28E-03,111523616,3.01E-08,,,,,,
758050.5582,1.52E-08,117876863.5,9.08E-06,9.25E+11,7.39E-03,107967009.4,0.000130259,,,,,,
1273240.667,1.77E-05,122584447.5,1.10E-05,1.37E+12,0.00827523,124247047.6,0.174004273,,,,,,
1546554.129,1.52E-08,132571136.6,1.23E-05,1.37E+12,0.01,126960880.3,5.16E-08,,,,,,
2597630.974,1.32E-05,155051578,1.32526E-05,1.66E+12,0.014060342,131143175.5,0.124562431,,,,,,
3155237.666,1.56E-08,161243788.4,1.02E-05,1.16E+11,2.28E-03,139925618.9,0.044285199,,,,,,
5299616.056,8.82E-06,167683293.7,9.08E-06,1.31E+11,1.69E-03,126960880.3,8.39E-07,,,,,,
4966985.201,1.57E-08,167683293.7,1.05594E-05,1.47E+11,0.001505916,126960880.3,5.00E-07,,,,,,
10812132.52,4.98E-06,167683293.7,7.51E-06,1.53E+11,1.56E-03,126960880.3,1.13E-07,,,,,,
14950959.53,1.99E-08,181344087.9,6.70E-06,1.53E+11,1.82E-03,126960880.3,7.75E-08,,,,,,
21355145.88,3.11E-06,212095088.8,5.14E-06,1.53E+11,1.96E-03,135463242.3,0.000189726,,,,,,
